Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0266892943143008,0.0363292392541809,0.0529146307622766,0,0,0,0.0921702413076557,2.08625964058626E-05,-4.27199153295138E-13,3.28311314709021E-11,3.53797936296955E-05,-1.5085365891341E-11,2.06809503924717E-05,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/base_link.STL,,Spider_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Leg_upper_1,0.0219695652013671,0.0182206042868569,0.00306928262534811,0,0,0,0.0248043828707764,1.11700647610023E-06,9.55168830429846E-08,5.16996811332449E-08,2.82437786068354E-06,1.10330416179466E-08,2.13843485239965E-06,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_1.STL,,Spider_upperleg_1-1,Origin_Leg_upper_1,Axis_Leg_upper_1,Leg_upper_1,continuous,0.0558314237945942,-0.082056810538703,0.0322574126580789,1.5707963267949,0,-0.770351507810951,base_link,0,1,0,,,,,,,,,,,,
Lever_1,0.000137732744342312,-0.00939613235642105,-0.00404716546866996,0,0,0,0.00522501118381082,1.49572193703694E-07,-1.08598986359122E-11,-4.0419407716901E-10,2.33200764441941E-07,-7.80735371769024E-12,1.00631895775878E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_1.STL,,Spider_lever_2-1,Origin_Lever_1,Axis_Lever_1,Lever_1,continuous,0.024594,0.02115,0,1.5708,0,0.56575,Leg_upper_1,0,1,0,,,,,,,,,,,,
Shaft_1,0.00229998756333495,5.76205749780456E-14,-0.0209999999999994,0,0,0,0.000924746069982422,2.16771891835994E-07,2.1713491079517E-23,-5.15617864956101E-20,2.15544270402288E-07,5.83430726109264E-19,3.69361095365845E-09,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_1.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_1.STL,,SLS_lever_lower-1,Origin_Shaft_1,Axis_Shaft_1,Shaft_1,prismatic,0.036019,0,0.0047263,-1.0306,0,-1.5708,Lever_1,1,0,0,0,0,0,0,,,,,,,,
Leg_lower_1,0.00210000000002336,-9.15195454093132E-06,-0.0353242430383387,0,0,0,0.00511403475106288,3.40097557199022E-06,-4.2351647362715E-22,2.63043434791863E-21,3.28327036320466E-06,1.35078946160938E-07,1.31342634788394E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_1.STL,0,1,1,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_1.STL,,Spider_lowerleg-3/SLS_leg_lower-1,Origin_Leg_lower_1,,Leg_lower_1,fixed,0,0,0,1.9869,0,-3.1416,Shaft_1,0,0,0,,,,,,,,,,,,
Leg_upper_2,0.0219724515584532,0.0182206044271985,-0.00309811153709386,0,0,0,0.0248043825976127,1.11700647729267E-06,9.56337908812338E-08,-4.96044598039577E-08,2.82437783811212E-06,-1.10172036967586E-08,2.13843482921062E-06,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_2.STL,,Spider_upperleg_2-2,Origin_Leg_upper_2,Axis_Leg_upper_2,Leg_upper_2,continuous,-0.00245284745286619,-0.0820568105387026,0.0322574126580794,1.5707963267949,0,-2.34833207396482,base_link,0,1,0,,,,,,,,,,,,
Lever_2,0.000137732744070695,0.00939505883879485,-0.00404716546895482,0,0,0,0.00522501118384892,1.495721936999E-07,-1.08598984784832E-11,-4.04194076690804E-10,2.33200764442835E-07,-7.80735444168338E-12,1.00631895780761E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_2.STL,,Spider_lever-2,Origin_Lever_2,Axis_Lever_2,Lever_2,continuous,0.024594,0.02115,0,1.5708,0,0.59052,Leg_upper_2,0,1,0,,,,,,,,,,,,
Shaft_2,-0.0022999875632927,5.91887650003287E-14,-0.0210000000000349,0,0,0,0.000924746069982422,2.16771891835994E-07,1.03397576569128E-24,-6.20385459414771E-25,2.15544270402288E-07,2.20689202489734E-23,3.69361095365839E-09,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_2.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_2.STL,,SLS_lever_lower-3,Origin_Shaft_2,Axis_Shaft_2,Shaft_2,prismatic,0.035614,0,0.0053891,-1.0121,0,-1.5708,Lever_2,1,0,0,0,0,0,0,,,,,,,,
Leg_lower_2,0.00199999999999963,-7.78388359218285E-06,-0.0300438332087714,0,0,0,0.00601286144806057,3.40666556057306E-06,-1.05879118406788E-22,1.83634095986772E-21,3.28657694411922E-06,1.35078946160936E-07,1.34649215702956E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_2.STL,,Spider_lowerleg-4,Origin_Leg_lower_2,,Leg_lower_2,fixed,0.0041,0,0,1.996,0,3.1416,Shaft_2,0,0,0,,,,,,,,,,,,
Leg_upper_3,0.0219695662103853,0.0182206040566766,0.00306928303355871,0,0,0,0.0248043815677668,1.11700629001963E-06,9.55169681076297E-08,5.1699970567179E-08,2.82437776092305E-06,1.10330800439778E-08,2.13843490661872E-06,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_3.STL,,Spider_upperleg_1-2,Origin_Leg_upper_3,Axis_Leg_upper_3,Leg_upper_3,continuous,-0.00245284745286684,-0.0237725392912402,0.0322574126580794,1.5707963267949,0,2.44535194984566,base_link,0,1,0,,,,,,,,,,,,
Lever_3,0.000137732741097914,-0.00939613235823964,-0.00404716546596748,0,0,0,0.00522501118887151,1.49572193659465E-07,-1.08599013317567E-11,-4.04194077506601E-10,2.33200764432E-07,-7.80735644684694E-12,1.00631895809334E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_3.STL,,Spider_lever_2-2,Origin_Lever_3,Axis_Lever_3,Lever_3,continuous,0.024594,0.02115,0,1.5708,0,0.80778,Leg_upper_3,0,1,0,,,,,,,,,,,,
Shaft_3,-0.00229998756330631,9.17321774096536E-15,-0.0210000000000089,0,0,0,0.000924746069982425,2.16771891835994E-07,-2.48154183765908E-24,6.61744490042422E-24,2.15544270402289E-07,-2.54099544418633E-22,3.69361095365844E-09,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_3.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_3.STL,,SLS_lever_lower-4,Origin_Shaft_3,Axis_Shaft_3,Shaft_3,prismatic,0,0,-0.016875,-2.2887,0,1.5708,Lever_3,1,0,0,0,0,0,0,,,,,,,,
Leg_lower_3,0.00200000000000873,-7.78388361417914E-06,-0.0300438332088237,0,0,0,0.00601286144806056,3.40666556057306E-06,-9.95263713023803E-21,1.02922774897523E-19,3.2865769441197E-06,1.35078946155318E-07,1.34649215702474E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_3.STL,,Spider_lowerleg-2,Origin_Leg_lower_3,Axis_Leg_lower_3,Leg_lower_3,fixed,9.99999999978206E-05,0,-0.0420000000000199,-1.07775594280968,0,0,Shaft_3,0,0,0,,,,,,,,,,,,
Leg_upper_4,0.0219724513836955,0.0182206044059165,-0.00309811158838733,0,0,0,0.0248043824392843,1.11700645663666E-06,9.5633780592067E-08,-4.96044223449721E-08,2.82437782886804E-06,-1.10172081655124E-08,2.13843483699474E-06,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_upper_4.STL,,Spider_upperleg_2-1,Origin_Leg_upper_4,Axis_Leg_upper_4,Leg_upper_4,continuous,0.055831423794595,-0.02377253929124,0.0322574126580794,1.5707963267949,0,0.800237564975585,base_link,0,1,0,,,,,,,,,,,,
Lever_4,0.000137732744308783,0.00939505883875123,-0.00404716546880343,0,0,0,0.00522501118381655,1.49572193703061E-07,-1.08598986089792E-11,-4.04194077088423E-10,2.33200764442093E-07,-7.80735383925932E-12,1.00631895776696E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Lever_4.STL,,Spider_lever-1,Origin_Lever_4,Axis_Lever_4,Lever_4,continuous,0.0245943670538191,0.0211500000000002,0,1.5707963267949,0,0.569899338365783,Leg_upper_4,0,1,0,,,,,,,,,,,,
Shaft_4,0.00229998756329507,5.41233724504764E-16,-0.0209999999999986,0,0,0,0.000924746069982424,2.16771891835994E-07,0,-2.55392014125747E-23,2.15544270402289E-07,-9.6227600868913E-23,3.69361095365842E-09,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_4.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Shaft_4.STL,,SLS_lever_lower-2,Origin_Shaft_4,Axis_Shaft_4,Shaft_4,prismatic,0,0,-0.016875,-2.1141,0,1.5708,Lever_4,1,0,0,0,0,0,0,,,,,,,,
Leg_lower_4,0.00199999999999988,-7.78388358881055E-06,-0.0300438332087987,0,0,0,0.00601286144806056,3.40666556057305E-06,0,6.15091503494431E-21,3.28657694411921E-06,1.35078946160943E-07,1.34649215702956E-07,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TLA_Spider.SLDASM/meshes/Leg_lower_4.STL,,Spider_lowerleg-1,Origin_Leg_lower_4,,Leg_lower_4,fixed,-0.0041,0,-0.042,-1.1532,0,0,Shaft_4,0,0,0,,,,,,,,,,,,
